0	"I'm leaving the EU, now give me a good deal."  "Why should we?"  "Fuck, I hadn't thought that far ahead."
0	Brexit is a huge mistake, a way for the UK to cover up its disastrous voting record on putting total idiots into government.
0	A hot mess.
1	Current polls suggest the UK would prefer a hard brexit as opposed to staying in the EU. Did the EU give you a grant for your video? It's biased in many areas! The UK is being punished by the EU for the democratic decision of it's people.
1	Great result. UK has sacrificed itself to allow the other european nations to use the leave excuse as blackmail to change things into the union. Thanks UK, your sacrifice will not be forgotten.
0	Brexit sucks, I’m Australian and I got denied access to travel to the UK because they were trying to tighten up the boarders lol. Worst!!!
1	It says a lot about the government and parliment.. When they keep remain on a table when all of them were Elected on a manifesto to leave...
0	The point is not that it's impossible. The point is, that it's just a rather bad idea to do so because it has negative consequences because it creates a legal vaccum.
0	RIP Brexit.
1	No deal is the best deal. Bollocks to Sky news , they are just EU sympathisers.
0	Literally the thing that people voted Brexit for, is something the EU already does.
1	The EU is a disgraceful organisation in my opinion. It has become far too large and complex. It is not just a threat to democracy its killed democracy.
0	Any financial forecast is guesswork from either side. I think you've got to Base this on what sort of person you want to be, insular and fearful of outsiders and collaboration, or open and willing to help and work with others. I also do think you have to look at who is campaigning on either side, if you want to align yourself with Nigel Farrage and Michael Gove then you get what you deserve.
1	I never regret brexit, I want to get out without, yesterday. A no deal is even better! Get us out! teresa May is traitor these politicians are traitors, and they should be trialled for treason. People said Out!! Out!! We want Out!
0	It is a foolish, damaging, blinkered idea that is being pushed by national saboteurs, who believe they see the opportunity to make money and grab power, and by the rabid right wing press, who play on fear and anger, to keep people divided and easy to distract.
1	The result of the United Kingdom European Union Referendum of 2016 wont change!
1	Get rid of the Eu club and end food banks.
0	Making two million people unemployed overnight is more likely to lead to social unrest.
1	We voted Leave. We can't just say we fancy staying now – it's not that simple.
0	Leave with a no deal and then we drain our swamp asap
0	Brexit is a hoax, based on lies.
1	Brexit ain't broken, we're leaving in March. If we don't then democracy will be broken.
0	I voted to remain... because I'm NOT a racist.
1	Just leave, we don't want uk in eu
1	Hard Brexit right now ! 🇬🇧
1	I honestly think the UK, Sweden, Finland, Luxembourg, Germany, France, Belgium and the Netherlands can survive without the EU.
1	BRITAIN IS CLEVER VIVA BREXIT ! DOWN WITH GRAND NEW COMINTERNA - EU !
1	BYE EUROPE
0	A no deal Brexit would be Armaggedon
0	There. Is. No. #Brexit. Opportunity…it is a mythic and made up as unicorns, magic beans , Hogwarts, Middle Earth or Liam Fox’s trade deals. And saying it in a Spectator Leader doesn’t make it any less fantastical.
1	Sorry guys, you're delusional if you believe the EU will offer anything else.?
0	People with their lives ahead of them have to suffer the consequences of a choice by those who are nearly dead.
1	We had an empire before the "EU" came into the picture.
1	We voted leave so get on with it
0	The European Union is one of the worst ideas of all time and it should have stayed as a trading block. It is a bureaucratic nightmare and the sooner we get rid of it the better. However, we should have remained inside it and hoped for change, which probably would have happened it the end. Instead, we have put our whole economy at risk by being way to bold. The Eu is bad but it's not that bad.
0	If there was a second referendum, and the result was still to leave, that would be the winner for mass stupidity of the century, second to venezuela.
1	Easy !!! Leave!!!! Complete Leave !!!!
1	May isn't really interested in what the people want. She  is blindly leading us on an unknown journey down a path to economic oblivion.
1	it's better than loosing our democracy to the EU
1	The Queen wants us all to compromise with evil...to have a pragmatic approach to the Eu communist monolith. To accept serfdom and keep our chains for the benefit of socialist elitism - to not complain as the EU sucks all the wealth out of our country and hands it to communists like China! Yeah okay your Maj - cos that all sounds lovely. CIVIL WAR
0	The voting system is flawed, and this is a perfect example of it. Simply voting 'yes' or 'no' is complete nonsense. People are completely misinformed and unaware of the legal conditions and the consequences accompanying a simple Yes or No.
0	Remainers are a broad church with different views.
1	The EU isn't working that's a given
1	Speaking as a Brexiter, if trade was the sole prism through which to view #Brexit, then from a GDP perspective there isn't a good reason to leave the EU. Let's stop pretending otherwise. Brexit is more than mere accountancy.
1	Britain will make BREXIT  a success !! we will create a new Business britain!  lets make a free tax for business for a limited time, keep them here . use the WTo system rules  with china , US  mexico and brazil etc etc
1	They should have thought of all this before they joined the shitty Eu
0	Anyone now supporting a 'no deal' Brexit is a threat to my family, business and the country. It's becoming quite clear that they are prepared to accept any degree of damage to the UK and its people, including loss of life.
0	It's been two years, people have changed their minds. And if they haven't what would the harm be in another vote? Unless you're afraid remain will win this time.
1	Reminder: the European Project has destroyed job opportunities for an entire generation of young people around the continent.
0	Clever name. That is all.
1	The EU is a anti-democratic, bureaucratic monstrosity that only serves itself. It is filled with failed politicians who are paid huge sums of money to do nothing but fill their pockets. The only thing we need in Europe is free trade. Brussels in its current form needs to go down.
1	If Britain must choose between Europe and the open sea, She must choose the open sea!
1	the only way to fix the mess is to accept the brexit
0	Can we just forget about BREXIT and act as if it never ever happened at all?
1	I'm sad by Brexit like Spanish, but I can understand Britons: pay EU budget for the South Europeans countries and also receive massive immigration: Is not a good issue. EU were not good formed:the buildings begin at bottom, not at the top. Farewell.
1	The media has gone into overdrive with the anti brexit propaganda, Joseph Goebbels would be very impressed.
0	It's crap. Everyone in the UK loses.
1	Hard brexit all the way!
0	Out of Europe would be a disaster and this is the best thing for this country.
0	If only we could forget brexit, then it could be the gift that keeps on giving money and human rights
0	So brexit was a bad idea
1	What the heck is Brexit about if not to let the UK become the UK again. Tell the EU where they can go and make a clean break.
0	if you really want a poorer and more irrelevant britain, then brexit is a good way to go.
1	I voted to leave because I am pro democracy, that has not changed.
0	As an Aussie I can’t stop watching these videos. Brexit is like a slow motion car crash that you can’t look away from
1	Firstly I think the EU is a fundamentally undemocratic organisation. I've yet to meet a single voter of any colour who can give a reasonably honest and accurate explanation of how the core EU institutions function in practice
0	This is playing games by the British politicians, also explores the disadvantage of Democracy
1	I'd honestly prefere to just leave without a deal and end this charade.
0	Many people hate the EU because they are jealous!
0	Great job brexit will be the cause of another great war across europe
0	Its time to say " STOP BREXIT
0	BREXIT without a deal is going to hurt both EU and UK but undeniably UK will be the one much worse off. In the end it will strengthen EU because it shows the folly of throwing a tantrum and leaving.
1	Why do we even bother to vote in this country?? I feel powerless and totally disillusioned now. Well, I guess it's just the way the worlds going; to shit.
1	Actually the country, most of us are united in leaving.
0	Yeah sure... the Pound Sterling dropped 20%... racists are attacking immigrants now.... wonderful Great Britain !!  Good luck !!  You idiots !!  .... Glad you're an island !!!  Only thing we need to to is flood the tunnel ......
0	We are leaving EU soon, Crap
1	Everyone that is against Brexit, should be moving.
1	I must admit, I have been pretending to be against Brexit for a while now because of pier pressure, it’s good to see that other people have spoken there minds 😄
0	I wish non of this was happening
1	good for you UK great choice
0	A sad day for British medicine. We are being diminished by #Brexit. Many unintended consequences will follow on from this
0	lets start with the fact that the uk is using eu nationals as bargaining chips and fucks with their future and peace of mind.
1	I think that, all considered, Brexit will be good for the EU.
1	I can’t wait for Hard Brexit. It will be the best ever!
1	Leave means leave. Sign the UK open petition for a no deal Brexit 318, 064 patriots agree. MBGA
1	Wow. The media is really going all out to scare the crap out of the British public into thinking Brexit is bad
1	We want Out!
1	I don't really like the idea of eurocrats in brussels deciding my future. I have found it amazing seeing friends on Facebook shout passionately about how voting In is the only choice and that believing anything other that that makes me an idiot racist. I have found the In campaign to be the vocal minority. I turn on sky news and it is just seems to be pushing doom and gloom for the UK economy if we leave. The current government just seems to be pushing fear and I am really bored of it.
1	Congratulations british citizens! You left the IV Reich! Who lives will see...
1	Brits voted Leave for all the right reasons - its a gesture/indication of Self-confidence and Strength. Don't forget these are the same people that ensured they kept their own Currency when they first ventured into the EU experiment (when they ventured on board the Titanic).
0	what a shitshow.....bring back lord buckethead!!!
0	Why so much hate against the EU?
1	Very happy that UK is leaving the EU! Hope Scotland joins the EU.
0	The Brexit vote has divided your UK for decades to come and has the potential to tear the UK apart
0	and higher prices, int'l marginalisation, recession... Whoops!
1	The migrant crisis is gonna end Europe...
0	I still think it'll all end in tears.
0	Stop this fucking madness of Brexit,I won't stop immigration,the economy will crash
1	Walk away now!!!
0	I believe I speak for a few fellow Europeans when I say that it's ƒøöжìñĝ šĥïțę м8
1	Remainers that think they can win an argument with the EU have lost touch with reality.?
0	Lets hope it fails
1	What a beautiful day, perhaps only topped by Nov 8th!
0	Talk to an American and money will become the subject, they have no concept of doing something for any other reason. Scotland and Northern Ireland have to choose and I guarantee when the chips are down and they realise the consequences of leaving the U.K. they'll come to their senses.
0	Just do the vote again. I'm sure that the British are not that gullible to propagandists this time again.
0	I seriously think, brexiters may have some sort a brain damage from social media or smth to want such a thing.
0	Brexit is a joke
0	As an European, i think it is very stupid. Brexit shouldn't happen and they should stay with us.
1	The weakness is clearly immigration.
1	Have faith in God and He will make Brexit a success for the UK that's a clear message Britain should take a closer look :=).
1	The last thing they want is a reasonable deal, because they want to block Brexit. Its devious, dishonest, nasty and twisted, but thats exactly the way the remainer politicians and media are playing it.
0	Cannot believe that people actually voted for an exit...
0	It's literally like shooting one's self in the foot. Dumb AF
1	Hopefully Brexit will happen soon.
0	The more I hear from brexit supporters the more I realize they are generally either mad, ignorant or have looked for scapegoats their whole lives to blame for their own pathetic failings.
0	The Brexit nightmare is entirely the Tories' fault!
0	Ya'll fucked up and are trying to figure out how to un fuck up without admitting you fucked up.
1	I heartily endorse Brexit, Britain is not a European country, it has fundamental differences in its ideals.
1	The Brits have made the UK,  great again.
0	Brexit is a disaster for the UK and will continue to be as well.
1	I don't feel comfortable with the idea that people that were not elected by the people of my country can make laws that govern my country and be unaccountable for any effects as a result of these laws. It seems very undemocratic, if not anti-democratic.
1	No. I voted to leave because I am pro democracy, that has not changed.
1	just leave already and that is that
1	Leave with no Deal. That is the Deal.
